sigma,topology,n_cows,trial,mean_transitions_e,mean_transitions_r,mean_time_e,mean_time_r,prop_e,prop_r,prop_s
0.0,full,2,0,340.0,339.5,83.09722222222223,83.0,0.29756666666666665,0.24824999999999997,0.45418333333333333
0.0,full,2,1,349.0,348.0,80.08021390374331,80.0,0.3132166666666667,0.2622333333333333,0.42455
0.0,full,2,2,375.0,374.5,79.0,79.005291005291,0.35026666666666667,0.23936666666666667,0.41036666666666666
0.0,full,2,3,355.5,355.0,87.97647058823529,87.976401179941,0.33501666666666663,0.2435,0.4214833333333333
0.0,full,2,4,364.0,363.0,85.09375,85.0,0.30825,0.2540833333333333,0.43766666666666665
0.0,full,2,5,404.0,403.5,79.0,79.0,0.32866666666666666,0.2623333333333333,0.40900000000000003
0.0,full,2,6,347.5,347.0,82.05205479452054,81.96703296703296,0.28835,0.25745,0.45420000000000005
0.0,full,2,7,403.0,402.0,73.06585365853658,73.0,0.32053333333333334,0.28796666666666665,0.3915
0.0,full,2,8,370.0,370.0,77.1082474226804,77.0,0.274,0.2791166666666667,0.4468833333333333
0.0,full,2,9,385.0,385.0,71.06888361045131,71.0,0.29431666666666667,0.2823333333333333,0.42335
0.0,full,2,10,372.5,372.0,79.01055408970976,79.005291005291,0.3179833333333333,0.26831666666666665,0.4137
0.0,full,2,11,375.0,375.0,83.0,83.0,0.2933,0.2624833333333333,0.44421666666666665
0.0,full,2,12,374.0,373.5,81.00813008130082,80.98097826086956,0.34765,0.2530833333333333,0.39926666666666666
0.0,full,2,13,356.0,355.0,80.07754010695187,80.0,0.29596666666666666,0.25583333333333336,0.44820000000000004
0.0,full,2,14,362.0,362.0,79.05555555555556,79.0,0.33573333333333333,0.29200000000000004,0.37226666666666663
0.0,full,2,15,360.0,359.5,77.0618556701031,77.0,0.31056666666666666,0.2652833333333333,0.42415
0.0,full,2,16,369.0,368.0,85.0,84.98860398860398,0.33765,0.264,0.39835
0.0,full,2,17,405.5,405.0,76.0,76.0,0.32963333333333333,0.297,0.3733666666666666
0.0,full,2,18,381.5,381.0,71.05700712589073,71.0,0.35396666666666665,0.25685,0.3891833333333333
0.0,full,2,19,384.5,384.0,70.07728337236534,70.0,0.3337333333333333,0.27446666666666664,0.3918
0.0,full,2,20,403.5,403.0,77.97135416666667,77.90861618798955,0.35278333333333334,0.26283333333333336,0.3843833333333333
0.0,full,2,21,359.5,359.0,80.04812834224599,79.97319034852546,0.31648333333333334,0.2725666666666666,0.41095
0.0,full,2,22,381.0,380.5,74.06188118811882,74.0,0.32035,0.2798,0.39985
0.0,full,2,23,403.0,403.0,72.05301204819277,72.0,0.3020666666666667,0.29315,0.40478333333333333
0.0,full,2,24,382.5,382.0,72.08192771084337,72.00963855421686,0.3378833333333333,0.26883333333333337,0.3932833333333333
0.0,full,2,25,346.0,346.0,93.97798742138365,93.87421383647799,0.3232,0.24236666666666667,0.43443333333333334
0.0,full,2,26,364.5,364.5,88.09439528023599,88.0,0.28218333333333334,0.2729666666666667,0.44484999999999997
0.0,full,2,27,370.0,369.5,73.0,72.99755501222494,0.3188,0.26411666666666667,0.41708333333333336
0.0,full,2,28,395.0,394.5,73.04878048780488,73.0,0.30136666666666667,0.29613333333333336,0.40249999999999997
0.0,full,2,29,342.5,342.0,82.0,82.0,0.3025,0.25955,0.43795
0.0,full,2,30,412.5,411.5,70.66745283018868,70.62411347517731,0.29503333333333337,0.30088333333333334,0.40408333333333335
