sigma,topology,n_cows,trial,mean_transitions_e,mean_transitions_r,mean_time_e,mean_time_r,prop_e,prop_r,prop_s,movement_range,vision_range
0.05,WALKING_COWHERD,10,0,374.1,373.8,79.05277044854881,78.98412698412699,0.32278666666666667,0.2746666666666666,0.40254666666666666,0.02,0.01
0.05,WALKING_COWHERD,10,1,374.5,373.9,80.69272237196766,80.62162162162163,0.32383,0.27554333333333336,0.4006266666666667,0.02,0.01
0.05,WALKING_COWHERD,10,2,371.7,371.4,79.03693931398416,78.94708994708995,0.3241233333333333,0.27454,0.40133666666666673,0.02,0.01
0.05,WALKING_COWHERD,10,3,371.3,371.0,82.87257617728532,82.80886426592798,0.32080666666666663,0.27346333333333334,0.40573000000000004,0.02,0.01
0.05,WALKING_COWHERD,10,4,375.5,375.3,79.05013192612137,78.98412698412699,0.32324,0.2762766666666666,0.4004833333333333,0.02,0.01
0.05,WALKING_COWHERD,10,5,372.1,371.7,80.06149732620321,80.0,0.3229966666666667,0.27546333333333334,0.40154000000000006,0.02,0.01
0.05,WALKING_COWHERD,10,6,373.3,372.6,80.06417112299465,79.9892761394102,0.32467,0.27547333333333335,0.39985666666666664,0.02,0.01
0.05,WALKING_COWHERD,10,7,370.6,370.2,81.15447154471545,81.0679347826087,0.32437666666666665,0.2741566666666667,0.4014666666666667,0.02,0.01
0.05,WALKING_COWHERD,10,8,371.6,371.0,80.07486631016043,79.99463806970509,0.3249633333333334,0.2739366666666666,0.4011,0.02,0.01
0.05,WALKING_COWHERD,10,9,376.5,376.2,81.11111111111111,81.02710027100271,0.3235166666666667,0.27651333333333333,0.39997,0.02,0.01
0.05,WALKING_COWHERD,10,10,372.2,371.6,81.6267029972752,81.55191256830601,0.32544666666666666,0.2737466666666667,0.4008066666666667,0.02,0.01
0.05,WALKING_COWHERD,10,11,369.2,368.9,85.63896848137536,85.5702005730659,0.32374,0.27368000000000003,0.40257999999999994,0.02,0.01
0.05,WALKING_COWHERD,10,12,372.3,372.1,81.02168021680217,80.94579945799458,0.32425000000000004,0.2738366666666666,0.40191333333333334,0.02,0.01
0.05,WALKING_COWHERD,10,13,374.1,373.5,80.06417112299465,80.00268096514745,0.32338333333333336,0.27418333333333333,0.4024333333333333,0.02,0.01
0.05,WALKING_COWHERD,10,14,372.8,372.5,80.04545454545455,79.98123324396782,0.3230666666666667,0.27352333333333334,0.40340999999999994,0.02,0.01
0.05,WALKING_COWHERD,10,15,373.5,373.2,79.05026455026454,78.97089947089947,0.32289,0.27495,0.40215999999999996,0.02,0.01
0.05,WALKING_COWHERD,10,16,374.9,374.8,81.0569105691057,80.98644986449864,0.32462,0.27609,0.39929000000000003,0.02,0.01
0.05,WALKING_COWHERD,10,17,373.7,373.6,79.05291005291005,78.98941798941799,0.3236366666666667,0.2748733333333333,0.40149,0.02,0.01
0.05,WALKING_COWHERD,10,18,373.3,373.0,79.07936507936508,79.0,0.32377,0.2753,0.40092999999999995,0.02,0.01
0.05,WALKING_COWHERD,10,19,371.5,371.1,80.92432432432433,80.84281842818429,0.3263166666666667,0.2738466666666666,0.3998366666666667,0.02,0.01
0.05,WALKING_COWHERD,10,0,373.2,373.0,79.98395721925134,79.91978609625669,0.33073666666666673,0.2784733333333333,0.3907900000000001,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,1,375.0,374.8,78.72631578947369,78.63684210526316,0.3267533333333333,0.2793933333333333,0.3938533333333333,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,2,374.7,374.3,80.6522911051213,80.57412398921834,0.32921333333333336,0.27767000000000003,0.39311666666666667,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,3,372.8,372.3,80.01336898395722,79.93582887700535,0.3310533333333333,0.2789833333333333,0.38996333333333333,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,4,374.2,374.0,80.02673796791444,79.95187165775401,0.32857666666666663,0.27819666666666665,0.39322666666666667,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,5,374.7,374.6,80.82702702702703,80.74864864864865,0.32588,0.27791,0.39621,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,6,370.9,370.5,81.00813008130082,80.92682926829268,0.3287466666666667,0.27729666666666664,0.39395666666666673,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,7,376.6,376.3,80.68733153638814,80.61621621621622,0.3308433333333333,0.28080666666666665,0.38835,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,8,372.4,372.2,79.99465240641712,79.91176470588235,0.3291366666666667,0.2776033333333333,0.39325999999999994,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,9,375.6,375.2,79.75466666666667,79.672,0.32733333333333337,0.2794666666666667,0.39320000000000005,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,10,374.3,373.8,78.89709762532982,78.82849604221636,0.3276533333333333,0.2789333333333333,0.39341333333333334,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,11,372.8,372.4,81.130081300813,81.05978260869566,0.32659333333333335,0.27737666666666666,0.39603,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,12,375.4,375.3,80.82162162162162,80.74324324324324,0.3293666666666667,0.2790366666666667,0.39159666666666665,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,13,374.7,374.4,79.22751322751323,79.14058355437666,0.3296733333333334,0.27895,0.39137666666666665,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,14,374.6,374.4,79.744,79.65066666666667,0.3275966666666667,0.27836333333333335,0.39404,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,15,373.5,373.1,80.7466307277628,80.66756756756757,0.3266033333333333,0.27775333333333335,0.39564333333333335,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,16,375.2,374.9,78.89973614775725,78.85488126649076,0.32937666666666665,0.28043999999999997,0.3901833333333333,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,17,375.5,375.1,79.832,79.75133689839572,0.32631,0.27825,0.39544,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,18,374.7,374.0,78.7421052631579,78.7335092348285,0.32916333333333336,0.27973,0.3911066666666666,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,19,375.2,374.7,78.79736842105264,78.7071240105541,0.3294033333333333,0.27925666666666665,0.39134,0.02,0.026250000000000002
0.05,WALKING_COWHERD,10,0,377.8,377.3,79.45358090185677,79.40957446808511,0.33751,0.28613,0.37636,0.02,0.0425
0.05,WALKING_COWHERD,10,1,375.4,375.0,78.4514435695538,78.37007874015748,0.3375666666666667,0.28479333333333334,0.37764000000000003,0.02,0.0425
0.05,WALKING_COWHERD,10,2,377.4,376.9,79.43236074270557,79.39095744680851,0.33583,0.2856166666666667,0.37855333333333335,0.02,0.0425
0.05,WALKING_COWHERD,10,3,377.9,377.4,78.90765171503958,78.87335092348285,0.3383,0.28646333333333335,0.37523666666666666,0.02,0.0425
0.05,WALKING_COWHERD,10,4,378.2,377.8,79.76266666666666,79.67733333333334,0.3368466666666666,0.28584999999999994,0.3773033333333334,0.02,0.0425
0.05,WALKING_COWHERD,10,5,378.6,378.4,80.30026809651474,80.21505376344086,0.33319333333333334,0.2830066666666667,0.38380000000000003,0.02,0.0425
0.05,WALKING_COWHERD,10,6,378.7,378.3,80.63611859838275,80.60377358490567,0.33767666666666674,0.28632666666666673,0.37599666666666665,0.02,0.0425
0.05,WALKING_COWHERD,10,7,378.6,378.3,80.17426273458445,80.10455764075067,0.33697333333333335,0.28602,0.37700666666666666,0.02,0.0425
0.05,WALKING_COWHERD,10,8,379.5,379.3,79.56648936170212,79.5,0.3393466666666667,0.28762333333333334,0.37303000000000003,0.02,0.0425
0.05,WALKING_COWHERD,10,9,374.2,374.0,80.66307277628033,80.5822102425876,0.3339333333333333,0.28296333333333334,0.3831033333333333,0.02,0.0425
0.05,WALKING_COWHERD,10,10,375.8,375.5,78.30104712041884,78.21204188481676,0.33561,0.2824833333333333,0.38190666666666667,0.02,0.0425
0.05,WALKING_COWHERD,10,11,377.0,376.9,80.54716981132076,80.47978436657682,0.33493000000000006,0.2852366666666667,0.37983333333333336,0.02,0.0425
0.05,WALKING_COWHERD,10,12,376.9,376.3,79.0,78.92328042328042,0.33669333333333334,0.2850366666666667,0.37827,0.02,0.0425
0.05,WALKING_COWHERD,10,13,376.9,376.7,79.12962962962963,79.05555555555556,0.33361,0.2837633333333333,0.3826266666666666,0.02,0.0425
0.05,WALKING_COWHERD,10,14,377.1,376.9,79.52393617021276,79.51595744680851,0.3366866666666667,0.2847866666666667,0.3785266666666667,0.02,0.0425
0.05,WALKING_COWHERD,10,15,379.1,379.0,80.8027027027027,80.76216216216216,0.3396033333333333,0.2875666666666667,0.37283,0.02,0.0425
0.05,WALKING_COWHERD,10,16,376.0,375.4,80.8972972972973,80.86720867208672,0.3373833333333333,0.28454666666666667,0.37806999999999996,0.02,0.0425
0.05,WALKING_COWHERD,10,17,377.5,377.3,80.07219251336899,79.99463806970509,0.33747000000000005,0.2855066666666667,0.3770233333333334,0.02,0.0425
0.05,WALKING_COWHERD,10,18,378.3,377.8,79.3289124668435,79.23342175066313,0.3379833333333333,0.28633,0.37568666666666667,0.02,0.0425
0.05,WALKING_COWHERD,10,19,375.2,374.7,80.44623655913979,80.41239892183289,0.33521333333333336,0.2824366666666667,0.3823500000000001,0.02,0.0425
0.05,WALKING_COWHERD,10,0,380.7,380.3,79.4627659574468,79.43085106382979,0.3497766666666666,0.2948466666666667,0.3553766666666667,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,1,381.7,381.3,76.89460154241645,76.80976863753213,0.3483033333333333,0.2932633333333333,0.3584333333333333,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,2,379.2,378.8,78.77368421052631,78.7071240105541,0.3460166666666667,0.29222000000000004,0.3617633333333333,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,3,379.5,379.1,78.74736842105263,78.67105263157895,0.3462233333333333,0.2913266666666667,0.36245,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,4,385.0,384.6,78.73947368421052,78.67368421052632,0.35125,0.29646333333333336,0.3522866666666667,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,5,381.8,381.3,79.56117021276596,79.48670212765957,0.34593,0.2926466666666666,0.3614233333333333,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,6,379.1,379.0,79.99732620320856,79.91978609625669,0.3500933333333333,0.2941733333333333,0.35573333333333335,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,7,383.1,382.6,78.98944591029024,78.90501319261213,0.35202999999999995,0.2958133333333333,0.3521566666666667,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,8,381.9,381.6,79.28381962864721,79.20424403183024,0.3544033333333333,0.2948233333333334,0.3507733333333334,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,9,383.1,383.0,79.08994708994709,79.01587301587301,0.35019666666666666,0.29698,0.3528233333333334,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,10,383.6,383.4,77.35658914728683,77.27979274611398,0.3529966666666667,0.2953266666666666,0.3516766666666667,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,11,379.5,379.4,78.83421052631579,78.81266490765171,0.3491366666666667,0.2941633333333333,0.3567,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,12,382.7,382.3,78.77105263157895,78.70448548812665,0.34873333333333334,0.29325999999999997,0.3580066666666667,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,13,383.3,382.6,77.49481865284974,77.44675324675325,0.34757,0.29335666666666665,0.35907333333333324,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,14,378.6,378.3,78.33246073298429,78.25916230366492,0.35084666666666664,0.29460000000000003,0.3545533333333334,0.02,0.058750000000000004
0.05,WALKING_COWHERD,10,15,382.3,381.9,80.6900269541779,80.61351351351351,0.34895000000000004,0.2926366666666666,0.35841333333333336,0.02,0.058750000000000004
