sigma,topology,n_cows,trial,mean_transitions_e,mean_transitions_r,mean_time_e,mean_time_r,prop_e,prop_r,prop_s
0.0,full,10,0,371.9,372.6,79.01851851851852,79.0,0.32400666666666667,0.27427666666666667,0.4017166666666666
0.0,full,10,1,372.5,373.0,80.00536193029491,80.0,0.32306,0.2736666666666666,0.4032733333333334
0.0,full,10,2,369.5,370.1,84.97443181818181,84.86118980169972,0.3236066666666667,0.27409,0.40230333333333335
0.0,full,10,3,374.5,375.2,80.03208556149733,79.92266666666667,0.32348,0.2748333333333333,0.40168666666666664
0.0,full,10,4,370.9,371.4,84.98295454545455,84.94318181818181,0.32433,0.2741766666666667,0.40149333333333337
0.0,full,10,5,373.3,373.9,79.98123324396782,80.0,0.32164666666666664,0.2746166666666666,0.40373666666666674
0.0,full,10,6,375.7,376.4,80.01604278074866,80.0,0.32350666666666666,0.27675000000000005,0.39974333333333334
0.0,full,10,7,374.2,374.9,80.02673796791444,80.0,0.32415000000000005,0.27534333333333333,0.4005066666666666
0.0,full,10,8,373.6,374.4,81.01626016260163,81.0,0.32327666666666666,0.2744133333333333,0.40231000000000006
0.0,full,10,9,373.5,374.2,81.0569105691057,81.0,0.32428333333333337,0.27436999999999995,0.4013466666666667
0.0,full,10,10,371.8,372.5,81.04878048780488,81.0,0.32339666666666667,0.27359999999999995,0.4030033333333334
0.0,full,10,11,373.9,374.7,81.07317073170732,81.0,0.3230766666666667,0.2750466666666667,0.4018766666666666
0.0,full,10,12,374.2,374.8,79.0,79.0,0.32337666666666665,0.27475666666666665,0.40186666666666665
0.0,full,10,13,373.0,373.5,79.06332453825857,78.98153034300792,0.32123666666666667,0.27547333333333335,0.40329
0.0,full,10,14,375.1,375.7,82.00821917808219,81.92876712328767,0.32416333333333336,0.27577666666666667,0.40005999999999997
0.0,full,10,15,371.9,372.5,81.00813008130082,81.0,0.32304666666666665,0.27424666666666664,0.40270666666666666
0.0,full,10,16,374.8,375.5,81.0569105691057,81.0,0.32334666666666667,0.27666333333333337,0.39998999999999996
0.0,full,10,17,373.5,374.1,80.03208556149733,80.01069518716578,0.32372333333333336,0.27432666666666666,0.40195
0.0,full,10,18,375.1,375.7,80.06684491978609,80.0,0.32328,0.2757866666666667,0.4009333333333333
0.0,full,10,19,373.9,374.7,79.07671957671958,79.0,0.32347000000000004,0.27453,0.40199999999999997
0.0,full,10,20,374.5,375.2,79.05026455026454,79.0,0.3242933333333333,0.2753966666666667,0.40031
0.0,full,10,21,372.5,373.2,81.02439024390245,81.0,0.32302,0.27464000000000005,0.40234
0.0,full,10,22,373.5,374.0,83.01666666666667,82.97229916897507,0.32273333333333337,0.2750166666666667,0.40225
0.0,full,10,23,371.0,371.7,80.05080213903743,80.0,0.32145,0.27422,0.40433
0.0,full,10,24,373.3,374.0,80.03208556149733,80.0,0.3238866666666667,0.2758900000000001,0.4002233333333334
0.0,full,10,25,373.6,374.1,81.04065040650407,81.0,0.32283,0.27432,0.40284999999999993
0.0,full,10,26,375.8,376.4,80.06434316353888,80.0,0.3223733333333333,0.2761066666666666,0.40152
0.0,full,10,27,370.4,370.7,80.99186991869918,80.96205962059621,0.3235233333333333,0.2740633333333334,0.40241333333333335
0.0,full,10,28,374.3,375.1,80.02680965147454,80.0,0.32411,0.27471666666666666,0.4011733333333334
0.0,full,10,29,374.2,374.9,81.02439024390245,81.0,0.32404333333333335,0.27505666666666667,0.4008999999999999
0.0,full,10,30,375.5,376.3,78.9868073878628,78.87894736842105,0.3226066666666667,0.2758166666666667,0.4015766666666667
0.0,full,10,31,371.4,372.1,80.04021447721179,80.0,0.3228266666666667,0.27328333333333327,0.40388999999999997
0.0,full,10,32,372.5,373.5,81.08943089430895,81.0,0.3239033333333333,0.2750366666666667,0.40106
0.0,full,10,33,375.3,376.0,78.98944591029024,78.87894736842105,0.32377,0.2754766666666667,0.4007533333333334
0.0,full,10,34,372.9,373.5,79.03174603174604,79.0,0.32219000000000003,0.27556333333333327,0.40224666666666664
0.0,full,10,35,371.6,372.4,78.98412698412699,79.0,0.3232933333333333,0.27436333333333335,0.40234333333333333
0.0,full,10,36,371.4,372.0,80.02139037433155,80.0,0.32355666666666666,0.27398333333333336,0.40245999999999993
0.0,full,10,37,373.9,374.2,79.03957783641161,78.95250659630607,0.32313000000000003,0.27502,0.40185000000000004
0.0,full,10,38,377.0,377.8,79.03968253968254,79.0,0.3236366666666667,0.27683,0.39953333333333335
0.0,full,10,39,373.8,374.5,79.03174603174604,79.0,0.32263666666666674,0.2750866666666667,0.40227666666666667
0.0,full,10,40,373.3,374.1,79.96533333333333,79.83733333333333,0.3234166666666667,0.27476666666666666,0.4018166666666666
0.0,full,10,41,376.0,376.8,79.005291005291,79.0,0.3241866666666667,0.27619333333333335,0.39962
0.0,full,10,42,371.9,372.6,81.0,81.0,0.32448,0.2736633333333333,0.40185666666666664
0.0,full,10,43,373.4,374.0,80.07219251336899,80.0,0.3224366666666667,0.2746733333333334,0.40289
0.0,full,10,44,375.0,375.8,80.95934959349593,80.97837837837838,0.32324666666666674,0.27608,0.4006733333333333
0.0,full,10,45,374.0,374.9,81.04065040650407,80.92972972972973,0.32309333333333334,0.27477999999999997,0.40212666666666663
0.0,full,10,46,372.8,373.3,79.07936507936508,79.0,0.32343333333333335,0.27424666666666664,0.40232
