sigma,topology,n_cows,trial,mean_transitions_e,mean_transitions_r,mean_time_e,mean_time_r,prop_e,prop_r,prop_s,movement_range,vision_range
0.05,WALKING_COWHERD,10,0,372.9,372.6,79.07936507936508,79.01058201058201,0.3235166666666667,0.27347,0.40301333333333333,0.01,0.01
0.05,WALKING_COWHERD,10,1,372.2,372.1,81.07317073170732,81.00271002710028,0.3231666666666667,0.27336,0.40347333333333335,0.01,0.01
0.05,WALKING_COWHERD,10,2,374.6,374.2,80.07486631016043,79.99463806970509,0.3236,0.27594,0.40046,0.01,0.01
0.05,WALKING_COWHERD,10,3,373.0,372.6,79.15343915343915,79.0978835978836,0.3237966666666666,0.27487666666666666,0.40132666666666666,0.01,0.01
0.05,WALKING_COWHERD,10,4,374.1,373.7,81.00542005420054,80.92682926829268,0.32302,0.27464999999999995,0.4023300000000001,0.01,0.01
0.05,WALKING_COWHERD,10,5,373.4,372.9,80.07219251336899,79.99731903485255,0.32277333333333336,0.27474999999999994,0.40247666666666665,0.01,0.01
0.05,WALKING_COWHERD,10,6,371.0,370.6,83.03611111111111,82.96944444444445,0.3252966666666667,0.27384,0.4008633333333333,0.01,0.01
0.05,WALKING_COWHERD,10,7,373.3,373.1,80.14477211796246,80.06970509383378,0.32419666666666663,0.27422,0.4015833333333333,0.01,0.01
0.05,WALKING_COWHERD,10,8,374.0,373.5,80.01336898395722,79.94652406417113,0.32361,0.27394666666666667,0.4024433333333334,0.01,0.01
0.05,WALKING_COWHERD,10,9,373.8,373.5,79.05291005291005,78.97619047619048,0.32543333333333335,0.27480999999999994,0.39975666666666665,0.01,0.01
0.05,WALKING_COWHERD,10,10,374.1,373.8,79.0925925925926,79.02116402116403,0.32447000000000004,0.27556,0.39997,0.01,0.01
0.05,WALKING_COWHERD,10,11,374.5,374.1,79.05540897097626,78.994708994709,0.32265333333333335,0.2744833333333333,0.40286333333333335,0.01,0.01
0.05,WALKING_COWHERD,10,12,371.1,370.8,80.11229946524064,80.02949061662198,0.3251833333333333,0.2733499999999999,0.4014666666666667,0.01,0.01
0.05,WALKING_COWHERD,10,13,373.4,373.0,81.07317073170732,80.99457994579946,0.32306,0.27434,0.40259999999999996,0.01,0.01
0.05,WALKING_COWHERD,10,14,375.5,375.2,80.98373983739837,80.90514905149051,0.32454,0.2761233333333334,0.3993366666666666,0.01,0.01
